"name","en_name","price:","net_price","discount_percent","review_count","review_rate",subcategory_name
"글렌알라키 10년 스페니쉬 버진 오크 피니쉬","GlenAllachie 10yo Spanish Virgin Oak Finish","208000","null","0","2","5","싱글몰트"
"글렌알라키 8년 스코티쉬 버진 오크 피니쉬","GlenAllachie 8yo Scottish Virgin Oak Finish","192000","null","0","1","5","싱글몰트"
"글렌알라키 7년 헝가리안 버진 오크 피니쉬","GlenAllachie 7yo Hungarian Virgin Oak Finish","180000","null","0","1","5","싱글몰트"
"글렌피딕 빈티지 캐스크","Glenfiddich Vintage Cask","229000","null","0","9","4.2","싱글몰트"
"쿠보타 센쥬","Kubota Senjyu","42000","null","0","1","5","긴죠"
"투 리버즈 소비뇽 블랑","Two Rivers Sauvignon Blanc","31000","null","0","1","5","화이트 와인"
"아벨라워 16년 43%","Aberlour 16yo 43%","206000","null","0","0","0","싱글몰트"
"발베니 30년 레어 메리지","Balvenie 30yo Rare Marriages","5600000","null","0","1","5","싱글몰트"
"레드 브레스트 12년","Red breast 12yo","109000","null","0","8","5","아이리쉬"
"래빗 홀 케이브힐","Rabbit Hole Cavehill","92000","null","0","0","0","아메리칸(버번)"
"온나 나카세 준마이 다이긴죠","Onna Nakase Junmai Daiginjo","48000","null","0","20","4.8","준마이 다이긴죠"
"글렌모렌지 라산타 12년(신형)","Glenmorangie Lasanta 12yo","115000","null","0","12","4.8","싱글몰트"
"봄베이 사파이어","Bombay Sapphire","38000","null","0","13","4.9","진"
"글렌피딕 빈티지 캐스크","Glenfiddich Vintage Cask","229000","null","0","9","4.2","싱글몰트"
"글렌피딕 몰트 마스터스 에디션 전용잔 패키지","Glenfiddich Malt Master's Edition Glass Package","129000","null","0","0","0","싱글몰트"
"[주류상회be 이달의 위스키입니다^^] 글렌모렌지 라산타 12년(신형) & 네이키드 몰트","Glenmorangie Lasanta 12yo & Naked Malt","149000","null","0","0","0","싱글몰트"
"[주류상회be 이달의 위스키입니다^^] 더 글렌그란트 10년 & 글렌모렌지 오리지널 10년","The Glen Grant 10yo & Glenmorangie Original 10yo","125000","null","0","3","5","싱글몰트"
"잭 다니엘스 싱글배럴 100 프루프","Jack Daniel's Single Barrel 100 Proof","102000","null","0","22","5","아메리칸(버번)"
"메이커스 마크 46","Maker's Mark 46","89000","null","0","13","4.8","아메리칸(버번)"
"탈리스커 8년 SR 2021","Talisker 8yo SR 2021","129000","null","0","25","4.7","싱글몰트"
"라가불린 16년","Lagavulin 16yo","265000","null","0","60","4.8","싱글몰트"
"마쓰이 싱글몰트 미즈나라 캐스크","Matsui Single Malt Whisky Mizunara Cask","148000","null","0","0","0","싱글몰트"
"[주류상회be강릉점에서 시음, 바이알 가능!!] 글렌알라키 7년 헝가리안 버진 오크 피니쉬","GlenAllachie 7yo Hungarian Virgin Oak Finish","179000","null","0","1","5","싱글몰트"
"[주류상회be강릉점에서 시음, 바이알 가능!!] 글렌알라키 8년 스코티쉬 버진 오크 피니쉬","GlenAllachie 8yo Scottish Virgin Oak Finish","192000","null","0","1","5","싱글몰트"
"마쓰이 돗토리 블렌디드 위스키","Matsui Whisky Tottori Blended Whisky","59000","null","0","0","0","블렌디드"
"[주류상회be강릉점에서 시음, 바이알 가능!!] 글렌알라키 10년 스페니쉬 버진 오크 피니쉬","GlenAllachie 10yo Spanish Virgin Oak Finish","209000","null","0","2","5","싱글몰트"
"칸티, 모스카토 콜레지오네 디 파밀리아","Canti, Moscato Collezione di Famiglia","11000","null","0","0","0","화이트 와인"
"글렌알라키 10년 CS 배치 9 & 옐로우 로즈 프리미엄 아메리칸 위스키","GlenAllachie 10yo Cask Strength Batch 9 & Yellow Rose Premium American Whiskey","229000","null","0","0","0","싱글몰트"
"올드 캐슬","Old Castle Blended Scotch Whisky","19000","null","0","0","0","블렌디드"
"스타워드 노바 싱글몰트 위스키","Starward Nova SIngle Malt Whisky","120000","null","0","2","5","싱글몰트"
"스타워드 솔레라 싱글몰트 위스키","Starward Solera Single Malt Whisky","165000","null","0","1","3","싱글몰트"
"스타워드 포티스 싱글몰트 위스키","Starward Fortis Single Malt Whisky","160000","null","0","6","4.8","싱글몰트"
"스타워드 옥타브 배럴 싱글몰트 위스키","Starward Octave Barrle Single Malt Whisky","245000","null","0","1","5","싱글몰트"
"스타워드 진저 비어 캐스크 #7 싱글몰트 위스키","Starward Ginger Beer Cask #7 Single Malt Whisky","245000","null","0","0","0","싱글몰트"
"스타워드 15주년 에디션 비탈리스","Starward 15th Anniversary Vitalis","370000","null","0","0","0","싱글몰트"
"레벨 켄터키 스트레이트 버번","Rebel Kentucky Straight Bourbon","52000","null","0","8","4.1","아메리칸(버번)"
"[♥️750ml.750ml.750ml//버번의 프리미엄] 우드포드 리저브 버번","Woodford Reserve Bourbon","83000","null","0","199","4.8","아메리칸(버번)"
"레벨 켄터키 스트레이트 라이","Rebel Kentucky Straight Rye","64000","null","0","3","3.3","라이"
"레벨 켄터키 스트레이트 버번 100프루프","Rebel Kentucky Straight Bourbon 100Proof","64000","null","0","24","4.2","아메리칸(버번)"
"믹터스 US*1 언블렌디드 아메리칸 위스키","Michter’s US*1 Unblended American Whiskey","105000","null","0","2","4.5","아메리칸(버번)"
"믹터스 US*1 싱글 배럴 라이 위스키","Michter’s US*1 Single Barrel Rye Whiskey","105000","null","0","17","4.8","라이"
"믹터스 US*1 스몰배치 버번 위스키","Michter’s US*1 Small Batch Bourbon Whiskey","105000","null","0","48","4.8","아메리칸(버번)"
"믹터스 US*1 스몰배치 사워 매시 위스키","Michter’s US*1 Small Batch Sour Mash Whiskey","105000","null","0","11","4.5","아메리칸(버번)"
"데이비스 카운티 까베르네 소비뇽 캐스크","Daviess County Cabernet Sauvignon Cask","135000","null","0","2","5","아메리칸(버번)"
"데이비스 카운티 스트레이트 버번","Daviess County Straight Bourbon","127000","null","0","2","5","아메리칸(버번)"
